R, 15860
R, 15864
R, 15868
R, 15872
R, 15872
R, 15876
R, 15876
R, 15880
R, 15880
R, 15884
R, 15888
R, 15892
R, 15896
R, 15900
R, 15900
R, 15904
R, 15908
R, 15912
R, 15916
R, 15920
R, 15924
R, 15928
R, 15932
R, 15936
R, 15940
R, 15944
R, 15948
R, 15952
R, 15956
R, 15960
R, 15964
R, 15968
R, 15972
R, 15976
R, 15980
R, 15984
W, 15900, 20
W, 15860, 0
R, 15864
R, 15868
R, 15872
R, 15872
R, 15876
R, 15876
R, 15880
R, 15880
R, 15884
R, 15888
R, 15892
R, 15896
R, 15900
R, 15904
R, 15908
R, 15912
R, 15916
R, 15920
R, 15924
R, 15928
R, 15932
R, 15936
R, 15940
R, 15944
R, 15948
R, 15952
R, 15956
R, 15960
R, 15964
R, 15968
R, 15972
R, 15976
R, 15980
R, 15980
R, 15984
W, 15980, 28
W, 15864, 1
R, 15868
R, 15872
R, 15872
R, 15876
R, 15876
R, 15880
R, 15880
R, 15884
R, 15888
R, 15892
R, 15896
R, 15900
R, 15904
R, 15908
R, 15912
R, 15916
R, 15920
R, 15924
R, 15928
R, 15932
R, 15936
R, 15940
R, 15944
R, 15948
R, 15952
R, 15956
R, 15960
R, 15964
R, 15968
R, 15972
R, 15976
R, 15980
R, 15984
W, 15880, 30
W, 15868, 2
R, 15872
R, 15876
R, 15876
R, 15880
R, 15884
R, 15888
R, 15892
R, 15896
R, 15900
R, 15904
R, 15908
R, 15908
R, 15912
R, 15916
R, 15920
R, 15924
R, 15928
R, 15932
R, 15936
R, 15940
R, 15944
R, 15948
R, 15952
R, 15956
R, 15960
R, 15964
R, 15968
R, 15972
R, 15976
R, 15980
R, 15984
W, 15908, 17
W, 15872, 3
R, 15876
R, 15880
R, 15884
R, 15888
R, 15892
R, 15896
R, 15900
R, 15904
R, 15908
R, 15912
R, 15912
R, 15916
R, 15920
R, 15924
R, 15928
R, 15932
R, 15936
R, 15940
R, 15944
R, 15948
R, 15952
R, 15956
R, 15960
R, 15964
R, 15968
R, 15972
R, 15976
R, 15980
R, 15984
W, 15912, 7
W, 15876, 4
R, 15880
R, 15884
R, 15884
R, 15888
R, 15888
R, 15892
R, 15892
R, 15896
R, 15896
R, 15900
R, 15904
R, 15908
R, 15912
R, 15912
R, 15916
R, 15920
R, 15924
R, 15928
R, 15932
R, 15936
R, 15940
R, 15940
R, 15944
R, 15948
R, 15952
R, 15956
R, 15960
R, 15964
R, 15968
R, 15972
R, 15976
R, 15980
R, 15984
W, 15940, 30
W, 15880, 5
R, 15884
R, 15888
R, 15888
R, 15892
R, 15892
R, 15896
R, 15896
R, 15900
R, 15904
R, 15908
R, 15912
R, 15912
R, 15916
R, 15920
R, 15924
R, 15928
R, 15932
R, 15936
R, 15940
R, 15944
R, 15948
R, 15952
R, 15952
R, 15956
R, 15960
R, 15964
R, 15968
R, 15972
R, 15976
R, 15980
R, 15984
W, 15952, 15
W, 15884, 6
R, 15888
R, 15892
R, 15892
R, 15896
R, 15896
R, 15900
R, 15904
R, 15908
R, 15912
R, 15912
R, 15916
R, 15920
R, 15924
R, 15928
R, 15932
R, 15936
R, 15940
R, 15944
